epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.22922243177890778,0.0010000000474974513,2.7663729190826416,0.48958998918533325,1.6975128650665283
1,0.47068196535110474,0.0010000000474974513,1.6330372095108032,0.6280495524406433,1.1174237728118896
2,0.6018801927566528,0.0010000000474974513,1.1707671880722046,0.7355984449386597,0.7300572991371155
3,0.6948374509811401,0.0010000000474974513,0.8798021078109741,0.8061054944992065,0.5805296897888184
4,0.7629063129425049,0.0010000000474974513,0.6908830404281616,0.8767403364181519,0.416319876909256
5,0.8111535906791687,0.0010000000474974513,0.5520224571228027,0.8980712890625,0.331838458776474
6,0.8413639068603516,0.0010000000474974513,0.4644908905029297,0.9273214936256409,0.2772286832332611
7,0.8671765327453613,0.0010000000474974513,0.3952852487564087,0.9308979511260986,0.23482739925384521
8,0.8859783411026001,0.0010000000474974513,0.3403339684009552,0.9333248138427734,0.28183016180992126
9,0.8974506258964539,0.0010000000474974513,0.305381715297699,0.9496743083000183,0.19331805408000946
10,0.9141809940338135,0.0010000000474974513,0.2577556371688843,0.9586154222488403,0.1570146232843399
11,0.9202995300292969,0.0010000000474974513,0.23801249265670776,0.9560608267784119,0.18529555201530457
12,0.9299553632736206,0.0010000000474974513,0.21039922535419464,0.9598926901817322,0.16360540688037872
13,0.9478967785835266,0.0005000000237487257,0.15694840252399445,0.9651296734809875,0.17386887967586517
14,0.9506373405456543,0.0005000000237487257,0.1498977243900299,0.9643632769584656,0.1827586591243744
15,0.956978976726532,0.0002500000118743628,0.13149867951869965,0.9661514759063721,0.18379516899585724
